scenario,season,alpha,cost_baseline_usd,cost_optimized_usd,cost_savings_usd,cost_savings_pct,cost_savings_annualized_usd,carbon_baseline_lbs,carbon_optimized_lbs,carbon_savings_lbs,carbon_savings_pct,carbon_savings_tons,carbon_savings_annualized_tons,battery_enabled,battery_capacity_mwh,battery_power_mw,battery_duration_hours,battery_capex_usd,battery_annualized_capex_usd,battery_fixed_om_usd_per_year,battery_annual_ownership_cost_usd,battery_weekly_ownership_cost_usd,battery_throughput_mwh,battery_degradation_cost_usd,cost_savings_usd_battery_off,carbon_savings_tons_battery_off,incremental_bess_savings_usd,incremental_bess_carbon_tons,net_incremental_bess_value_usd,net_incremental_bess_value_annual_usd,bess_should_be_included
bess_50mw_100mwh,summer,0.5,3967829.317454759,3626798.568469414,341030.748985345,8.59489463130702,17733598.94723794,78997553.16588843,78790789.22351831,206763.9423701167,0.2617346159265582,103.38197118505836,5375.862501623034,True,100.0,50.0,2.0,42700000.0,4688230.474732977,1067500.0,5755730.474732977,110687.12451409572,647.0290299550509,3235.145149775254,302673.60986210685,75.01565265048295,38357.13912323816,28.366318534575413,-75565.13054063282,-3929386.7881129067,NO
bess_50mw_100mwh,summer,1.0,3967829.317454759,3498489.3995801196,469339.9178746394,11.828631735996813,24405675.72948125,78997553.16588843,78920866.81912473,76686.34676370025,0.09707433166020366,38.34317338185012,1993.8450158562064,True,100.0,50.0,2.0,42700000.0,4688230.474732977,1067500.0,5755730.474732977,110687.12451409572,1037.5677249549767,5187.838624774884,421120.020002862,20.05784561739862,48219.897871777415,18.2853277644515,-67655.06526709319,-3518063.393888846,NO
bess_50mw_100mwh,winter,0.0,6545431.761824829,6571811.770381751,-26380.008556921966,-0.40302931138598214,-1371760.4449599423,79936160.06758304,79844505.2384485,91654.82913453877,0.11466003502926339,45.827414567269386,2383.0255574980083,True,100.0,50.0,2.0,42700000.0,4688230.474732977,1067500.0,5755730.474732977,110687.12451409572,4.438004108456246e-06,2.2190020542281227e-05,-26380.00668073632,45.8274150332883,-0.0018761856481432915,-4.660189105720747e-07,-110687.12641247139,-5755730.573448513,NO
bess_50mw_100mwh,winter,0.5,6545431.761824829,6503053.808480934,42377.95334389433,0.6474432075062929,2203653.5738825053,79936160.06758304,79789800.9981612,146359.0694218427,0.18309494638984605,73.17953471092135,3805.33580496791,True,100.0,50.0,2.0,42700000.0,4688230.474732977,1067500.0,5755730.474732977,110687.12451409572,226.79563446095648,1133.9781723047824,34790.29415376764,37.19877045363188,7587.659190126695,35.980764257289465,-104233.4434962738,-5420139.061806237,NO
bess_50mw_100mwh,winter,1.0,6545431.761824829,6477187.287395978,68244.47442885023,1.0426275440968629,3548712.6703002118,79936160.06758304,79812759.3479234,123400.71965964139,0.15437408996793275,61.70035982982069,3208.418711150676,True,100.0,50.0,2.0,42700000.0,4688230.474732977,1067500.0,5755730.474732977,110687.12451409572,1037.5674561598069,5187.8372807990345,55537.31057012547,38.287752264142036,12707.163858724758,23.412607565678655,-103167.79793617,-5364725.49268084,NO
bess_50mw_100mwh,shoulder,0.0,1964987.2965997425,1914696.4089985122,50290.88760123029,2.559349248122609,2615126.1552639753,44362586.61899865,43175196.3009129,1187390.318085745,2.6765579029091944,593.6951590428724,30872.148270229365,True,100.0,50.0,2.0,42700000.0,4688230.474732977,1067500.0,5755730.474732977,110687.12451409572,76.7333131558341,383.66656577917047,47677.46386825759,552.671998177372,2613.423732972704,41.02316086550047,-108457.36734690219,-5639783.102038913,NO
bess_50mw_100mwh,shoulder,0.5,1964987.2965997425,1882714.0556967682,82273.24090297427,4.186960447293563,4278208.526954662,44362586.61899865,43428381.520569675,934205.0984289721,2.1058400098539134,467.10254921448603,24289.332559153274,True,100.0,50.0,2.0,42700000.0,4688230.474732977,1067500.0,5755730.474732977,110687.12451409572,76.73332933961859,383.66664669809296,78868.89460098464,428.33308414104954,3404.34630198963,38.76946507343649,-107666.44485880419,-5598655.132657818,NO
bess_50mw_100mwh,shoulder,1.0,1964987.2965997425,1859160.1919153554,105827.1046843871,5.385638109086643,5503009.443588129,44362586.61899865,43792482.03199965,570104.5869989991,1.2851022234011196,285.05229349949957,14822.719261973978,True,100.0,50.0,2.0,42700000.0,4688230.474732977,1067500.0,5755730.474732977,110687.12451409572,120.84552244179089,604.2276122089545,102171.11987203918,247.33911025194078,3655.984812347917,37.71318324755879,-107635.36731395675,-5597039.100325751,NO
bess_100mw_200mwh,summer,0.0,3967829.317454759,3995058.7155411467,-27229.398086387664,-0.6862542692197882,-1415928.7004921585,78997553.16588843,78568121.93740195,429431.2284864783,0.5436006702444413,214.71561424323917,11165.211940648436,True,200.0,100.0,2.0,85400000.0,9376460.949465955,2135000.0,11511460.949465955,221374.24902819144,3.173419968196524e-05,0.00015867099840982622,-27229.34160392033,214.71557544691862,-0.05648246733471751,3.879632055259208e-05,-221374.30566932977,-11511463.894805148,NO
bess_100mw_200mwh,summer,0.5,3967829.317454759,3590766.784470667,377062.5329840919,9.502992765474247,19607251.71517278,78997553.16588843,78734964.65928982,262588.5065986067,0.33240080999368704,131.29425329930336,6827.301171563775,True,200.0,100.0,2.0,85400000.0,9376460.949465955,2135000.0,11511460.949465955,221374.24902819144,1294.058048838751,6470.290244193755,302673.60986210685,75.01565265048295,74388.92312198505,56.278600648820415,-153455.61615040014,-7979692.039820807,NO
