scenario,season,alpha,total_cost_norm_baseline,total_cost_norm_optimized,total_carbon_norm_baseline,total_carbon_norm_optimized,objective_norm_baseline,objective_norm_optimized,objective_norm_savings,solver_status
bess_100mw_200mwh,shoulder,0.5,43640.85175085891,41783.86054006412,41368.62068201877,40528.581279781574,42504.73621643884,41156.22090992285,1348.5153065159902,optimal
bess_100mw_200mwh,shoulder,0.6,43640.85175085891,41672.2252151595,41368.62068201877,40611.36080965635,42731.95932332285,41247.87945295824,1484.0798703646142,optimal
bess_100mw_200mwh,shoulder,0.7,43640.85175085891,41382.86169527294,41368.62068201877,40789.85665090819,42959.18243020686,41204.96018196351,1754.22224824335,optimal
bess_100mw_200mwh,shoulder,0.8,43640.85175085891,41308.05909692259,41368.62068201877,40808.50612794701,43186.40553709088,41208.14850312747,1978.2570339634112,optimal
bess_100mw_200mwh,shoulder,0.9,43640.85175085891,41290.246099902986,41368.62068201877,40827.416581416706,43413.62864397489,41243.96314805436,2169.665495920526,optimal
bess_100mw_200mwh,shoulder,1.0,43640.85175085891,41257.920163893825,41368.62068201877,40891.958371253255,43640.85175085891,41257.920163893825,2382.931586965082,optimal
bess_200mw_500mwh,summer,0.0,27991.795422817697,28232.951364344644,74921.44023768387,74510.31025168722,74921.44023768387,74510.31025168722,411.129985996653,optimal
bess_200mw_500mwh,summer,0.1,27991.795422817697,27400.232908180253,74921.44023768387,74516.82354499862,70228.47575619725,69805.16448131678,423.3112748804706,optimal
bess_200mw_500mwh,summer,0.2,27991.795422817697,26861.375359622085,74921.44023768387,74610.32811268534,65535.51127471064,65060.5375620727,474.9737126379405,optimal
bess_200mw_500mwh,summer,0.3,27991.795422817697,26341.017837507912,74921.44023768387,74661.06223157035,60842.54679322401,60165.04891335161,677.4978798724042,optimal
bess_200mw_500mwh,summer,0.4,27991.795422817697,25186.94708286968,74921.44023768387,74445.68237174017,56149.5823117374,54742.18825619198,1407.3940555454246,optimal
bess_200mw_500mwh,summer,0.5,27991.795422817697,25024.805556615967,74921.44023768387,74505.02758460672,51456.61783025078,49764.91657061134,1691.7012596394416,optimal
bess_200mw_500mwh,summer,0.6,27991.795422817697,24788.501774717668,74921.44023768387,74554.17279562032,46763.65334876417,44694.77018307873,2068.8831656854454,optimal
bess_200mw_500mwh,summer,0.7,27991.795422817697,24041.91925008017,74921.44023768387,74639.26490274619,42070.68886727755,39221.12294587998,2849.565921397574,optimal
bess_200mw_500mwh,summer,0.8,27991.795422817697,23910.458095483293,74921.44023768387,74676.1707541522,37377.724385790934,34063.60062721708,3314.1237585738563,optimal
bess_200mw_500mwh,summer,0.9,27991.795422817697,23743.65316448662,74921.44023768387,74694.37710286795,32684.759904304312,28838.725558324753,3846.0343459795586,optimal
bess_200mw_500mwh,summer,1.0,27991.795422817697,23712.397186967817,74921.44023768387,74692.21293933339,27991.795422817697,23712.397186967817,4279.39823584988,optimal
bess_200mw_500mwh,winter,0.0,71880.68079614085,72193.61426156558,80944.52456479322,80850.38509832534,80944.52456479322,80850.38509832534,94.139466467881,optimal
bess_200mw_500mwh,winter,0.1,71880.68079614085,71719.40110255143,80944.52456479322,80844.59336292034,80038.14018792797,79932.07413688346,106.06605104451592,optimal
bess_200mw_500mwh,winter,0.2,71880.68079614085,71641.53421657438,80944.52456479322,80858.79263723324,79131.75581106274,79015.34095310148,116.41485796126653,optimal
bess_200mw_500mwh,winter,0.3,71880.68079614085,71599.40039204308,80944.52456479322,80864.64962266712,78225.3714341975,78085.0748534799,140.29658071759332,optimal
bess_200mw_500mwh,winter,0.4,71880.68079614085,71547.53453787818,80944.52456479322,80841.4235589614,77318.98705733227,77123.8679505281,195.11910680416622,optimal
bess_200mw_500mwh,winter,0.5,71880.68079614085,71344.73697584224,80944.52456479322,80675.77070085958,76412.60268046704,76010.25383835091,402.348842116131,optimal
